knot,april,june,verdict,unknotting_crossings,in_crossing_dataset
13a_4094,"[1,1]","[1,1]",u = 1,[8],True
13a_4097,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4098,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_41,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_410,"[1,1]","[1,1]",u = 1,[5],True
13a_4100,"[1,1]","[1,1]",u = 1,[7],True
13a_4102,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4103,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4109,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_411,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4110,"[1,1]","[1,1]",u = 1,[12],True
13a_4112,"[1,1]","[1,1]",u = 1,"[7,10]",True
13a_4115,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4116,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4118,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4119,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_412,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4121,"[1,1]","[1,1]",u = 1,[6],True
13a_4122,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4124,"[1,1]","[1,1]",u = 1,[6],True
13a_4125,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4126,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4127,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4128,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4129,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_413,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4130,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4131,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4132,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4133,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4135,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4136,"[1,1]","[1,1]",u = 1,[6],True
13a_4137,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4138,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4139,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_414,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4140,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4141,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4142,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4143,"[1,1]","[1,1]",u = 1,[4],True
13a_4145,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4146,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4148,"[1,1]","[1,1]",u = 1,[11],True
