knot,april,june,verdict,unknotting_crossings,in_crossing_dataset
13a_3702,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3706,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3708,"[1,1]","[1,1]",u = 1,[2],True
13a_3709,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_371,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3710,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3711,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3717,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3718,"[1,1]","[1,1]",u = 1,"[0,5]",True
13a_3719,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3720,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3721,"[1,1]","[1,1]",u = 1,[8],True
13a_3722,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3723,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3724,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3725,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3726,"[1,1]","[1,1]",u = 1,[10],True
13a_3729,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_373,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3730,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3731,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3732,"[1,1]","[1,1]",u = 1,[5],True
13a_3734,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3737,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3738,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3739,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_374,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3741,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3742,"[1,1]","[1,1]",u = 1,[12],True
13a_3743,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3744,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3745,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3746,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3747,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3748,"[1,1]","[1,1]",u = 1,[4],True
13a_3749,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_375,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3751,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3752,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3755,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3759,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3760,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3761,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3762,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3763,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3764,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3765,"[1,1]","[1,1]",u = 1,"[0,5]",True
13a_3766,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3767,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3768,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3769,"[1,1]","[1,1]",u = 1,[12],True
13a_377,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3770,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3772,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3773,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3774,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3775,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3776,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3777,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3778,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3780,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3781,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3782,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3785,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3786,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3789,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3790,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3791,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3792,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3793,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3794,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3795,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3796,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3797,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3799,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_38,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_380,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3800,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3801,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3802,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3803,"[1,1]","[1,1]",u = 1,[8],True
13a_3804,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3805,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3806,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3807,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3808,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3809,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_381,"[1,1]","[1,1]",u = 1,[7],True
13a_3810,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3811,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3812,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3813,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3815,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3817,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3818,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3819,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_382,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3820,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3821,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3822,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3824,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3825,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3826,"[1,1]","[1,1]",u = 1,[3],True
13a_383,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3830,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3832,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3833,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3834,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3835,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
