knot,baseline,paper,september,relation
13a_4825,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4826,"[4,5]","[5,5]","[4,5]",paper_stronger
13a_4827,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4830,"[4,5]","[5,5]","[4,5]",paper_stronger
13a_4831,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4832,"[4,5]","[5,5]","[4,5]",paper_stronger
13a_4833,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4835,"[2,3]","[3,3]","[3,3]",equal
13a_4836,"[2,3]","[3,3]","[3,3]",equal
13a_4839,"[3,5]","[4,5]","[3,5]",paper_stronger
13a_4840,"[2,4]","[3,4]","[3,4]",equal
13a_4841,"[3,5]","[4,5]","[3,5]",paper_stronger
13a_4842,"[2,4]","[3,4]","[3,4]",equal
13a_4849,"[4,5]","[5,5]","[4,5]",paper_stronger
13a_4850,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4851,"[2,4]","[3,4]","[3,4]",equal
13a_4852,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4853,"[2,4]","[3,4]","[3,4]",equal
13a_4854,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4855,"[2,4]","[3,4]","[3,4]",equal
13a_4858,"[4,5]","[5,5]","[4,5]",paper_stronger
13a_4859,"[3,5]","[4,5]","[3,5]",paper_stronger
13a_4860,"[3,5]","[4,5]","[3,5]",paper_stronger
13a_4861,"[2,4]","[3,4]","[2,4]",paper_stronger
13a_4863,"[4,5]","[5,5]","[4,5]",paper_stronger
13a_4864,"[4,5]","[5,5]","[4,5]",paper_stronger
13a_4865,"[3,5]","[4,5]","[3,5]",paper_stronger
13a_4867,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4868,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4869,"[2,4]","[3,4]","[3,4]",equal
13a_4870,"[3,5]","[4,5]","[3,5]",paper_stronger
13a_4871,"[2,4]","[3,4]","[3,4]",equal
13a_4872,"[2,4]","[3,4]","[3,4]",equal
13a_4875,"[4,5]","[5,5]","[4,5]",paper_stronger
13a_4876,"[3,5]","[4,5]","[3,5]",paper_stronger
13a_4877,"[2,5]","[3,5]","[2,5]",paper_stronger
13a_507,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_517,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_523,"[1,3]","[2,3]","[2,2]",paper_weaker
13a_526,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_543,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_55,"[2,3]","[3,3]","[2,2]",disjoint
13a_568,"[2,3]","[3,3]","[2,2]",disjoint
13a_571,"[2,3]","[3,3]","[3,3]",equal
13a_576,"[2,3]","[3,3]","[3,3]",equal
13a_579,"[1,3]","[2,3]","[2,2]",paper_weaker
13a_584,"[2,3]","[3,3]","[3,3]",equal
13a_586,"[2,3]","[3,3]","[3,3]",equal
13a_589,"[2,3]","[3,3]","[3,3]",equal
13a_60,"[2,3]","[3,3]","[3,3]",equal
13a_616,"[3,4]","[3,4]","[3,3]",paper_weaker
13a_644,"[2,3]","[3,3]","[3,3]",equal
13a_645,"[2,3]","[3,3]","[3,3]",equal
13a_647,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_648,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_65,"[2,3]","[3,3]","[3,3]",equal
13a_650,"[2,4]","[3,4]","[2,2]",disjoint
13a_653,"[2,3]","[3,3]","[3,3]",equal
13a_656,"[1,3]","[2,3]","[2,2]",paper_weaker
13a_660,"[3,4]","[4,4]","[3,3]",disjoint
13a_661,"[2,3]","[3,3]","[3,3]",equal
13a_665,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_666,"[2,3]","[3,3]","[3,3]",equal
13a_670,"[2,3]","[3,3]","[3,3]",equal
13a_796,"[2,3]","[3,3]","[3,3]",equal
13a_82,"[2,3]","[3,3]","[3,3]",equal
13a_825,"[3,4]","[3,4]","[3,3]",paper_weaker
13a_828,"[2,3]","[2,3]","[2,2]",paper_weaker
13a_859,"[2,3]","[3,3]","[3,3]",equal
13a_863,"[1,3]","[2,3]","[2,2]",paper_weaker
13a_896,"[2,3]","[3,3]","[2,3]",paper_stronger
13a_901,"[2,3]","[3,3]","[3,3]",equal
13a_933,"[2,3]","[3,3]","[3,3]",equal
13a_983,"[2,3]","[3,3]","[3,3]",equal
13n_1004,"[1,3]","[2,3]","[1,3]",paper_stronger
13n_1023,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1026,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1027,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1031,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1034,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1040,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1042,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1053,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1061,"[1,3]","[2,3]","[1,3]",paper_stronger
13n_1067,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1068,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1071,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_110,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1102,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1105,"[3,4]","[3,4]","[3,3]",paper_weaker
13n_111,"[2,3]","[2,3]","[2,2]",paper_weaker
13n_1111,"[1,3]","[1,3]","[1,2]",paper_weaker
13n_1114,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1118,"[2,3]","[2,3]","[2,2]",paper_weaker
13n_112,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1126,"[1,3]","[1,3]","[1,2]",paper_weaker
13n_113,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1132,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_115,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1152,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_116,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1166,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_117,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1186,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1212,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1214,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1223,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1228,"[1,4]","[2,4]","[1,4]",paper_stronger
13n_1258,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1263,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1335,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1338,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1342,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1348,"[2,3]","[2,3]","[2,2]",paper_weaker
13n_1349,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1353,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1357,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1359,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1360,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1377,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1378,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1379,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1388,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1392,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1400,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1409,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_141,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1417,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_142,"[2,3]","[2,3]","[2,2]",paper_weaker
13n_1424,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1429,"[1,3]","[2,3]","[1,3]",paper_stronger
13n_143,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_144,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1445,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1449,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_145,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1450,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1451,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1457,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1458,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1459,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1460,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1461,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1462,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1468,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1475,"[1,3]","[2,3]","[1,3]",paper_stronger
13n_1480,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1481,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_149,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1492,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1494,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1500,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1508,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1512,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1513,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1525,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_153,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1536,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1546,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1557,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1562,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1567,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1574,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1575,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1583,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1587,"[1,3]","[1,2]","[1,3]",paper_stronger
13n_160,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1601,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1603,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1604,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1608,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_161,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1613,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1614,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1621,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1623,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1624,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1628,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_163,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1634,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_164,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_165,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1650,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1651,"[1,4]","[2,4]","[1,4]",paper_stronger
13n_1653,"[1,3]","[2,3]","[1,3]",paper_stronger
13n_1657,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_166,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1664,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1665,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1666,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1667,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_167,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1670,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1672,"[1,3]","[2,3]","[1,3]",paper_stronger
13n_1678,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1679,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_168,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1683,"[1,3]","[2,3]","[1,3]",paper_stronger
13n_1688,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1691,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1699,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_17,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_173,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1733,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1734,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_174,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1759,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_176,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_177,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1771,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_178,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_179,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1791,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1793,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1796,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1797,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_180,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1803,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1808,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1819,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_182,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1836,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1837,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1841,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1852,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1857,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1859,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1880,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1889,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1892,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1896,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1908,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1919,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1923,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1924,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1931,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1941,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_195,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1956,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_196,"[2,3]","[2,3]","[2,2]",paper_weaker
13n_197,"[1,3]","[2,3]","[1,2]",overlapping_incomparable
13n_1971,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1972,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1979,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1989,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_1992,"[1,3]","[2,3]","[1,3]",paper_stronger
13n_2008,"[1,3]","[2,3]","[1,3]",paper_stronger
13n_2012,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2014,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2015,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2020,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2027,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2028,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2029,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_203,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2034,"[1,3]","[2,3]","[1,3]",paper_stronger
13n_2036,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2039,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2042,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2052,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2058,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2069,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2076,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2078,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2088,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_209,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2090,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2097,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_210,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2100,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2124,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2138,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2148,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_215,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2155,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2156,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2161,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2162,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2164,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2165,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2168,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2169,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2173,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2177,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2187,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2189,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2198,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2199,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_220,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2208,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2209,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2210,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2214,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2215,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2231,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2240,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2245,"[1,3]","[2,3]","[1,3]",paper_stronger
13n_2261,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2280,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2286,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2290,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2293,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_230,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2301,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2310,"[1,3]","[2,3]","[1,3]",paper_stronger
13n_2311,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2313,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2314,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2315,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2316,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2323,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2324,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2347,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2370,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2372,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2378,"[1,3]","[2,3]","[1,3]",paper_stronger
13n_2379,"[2,3]","[2,2]","[2,3]",paper_stronger
13n_2382,"[1,3]","[2,3]","[1,3]",paper_stronger
13n_2383,"[1,3]","[2,3]","[1,3]",paper_stronger
13n_2384,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2398,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_240,"[1,4]","[1,4]","[1,3]",paper_weaker
13n_2400,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2401,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2407,"[2,3]","[3,3]","[2,3]",paper_stronger
13n_2408,"[1,3]","[3,3]","[1,3]",paper_stronger
13n_2410,"[1,3]","[3,3]","[1,3]",paper_stronger
13n_2411,"[1,3]","[3,3]","[1,3]",paper_stronger
13n_2412,"[2,3]","[3,3]","[2,3]",paper_stronger
13n_2413,"[2,3]","[3,3]","[2,3]",paper_stronger
13n_2414,"[1,3]","[3,3]","[1,3]",paper_stronger
13n_2416,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2421,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2426,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2427,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2432,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2451,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2455,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_246,"[3,4]","[3,4]","[3,3]",paper_weaker
13n_2463,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2466,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2467,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2469,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_247,"[2,4]","[2,4]","[2,3]",paper_weaker
13n_2487,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_25,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2500,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2504,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2507,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2509,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2516,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2519,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2524,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2530,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2534,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2536,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2537,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2542,"[1,3]","[2,3]","[1,3]",paper_stronger
13n_2549,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2551,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2552,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2553,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2554,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2558,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2562,"[1,3]","[2,3]","[1,3]",paper_stronger
13n_2568,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2570,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2572,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2573,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2574,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2582,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2583,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2589,"[1,3]","[2,3]","[1,3]",paper_stronger
13n_259,"[3,4]","[3,4]","[3,3]",paper_weaker
13n_2598,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2603,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2613,"[1,3]","[2,3]","[1,3]",paper_stronger
13n_2614,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2619,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2620,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2624,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2625,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2630,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_264,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2641,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2647,"[1,3]","[2,3]","[1,3]",paper_stronger
13n_2651,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2654,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2656,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2661,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2664,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2667,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2668,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2675,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2682,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2684,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2686,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2687,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2688,"[1,3]","[2,3]","[1,3]",paper_stronger
13n_2690,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2694,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2696,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2703,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2707,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2715,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2718,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2723,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_274,"[2,4]","[2,4]","[2,3]",paper_weaker
13n_2742,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2747,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2749,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2751,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2762,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2765,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_277,"[3,4]","[3,4]","[3,3]",paper_weaker
13n_2774,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2775,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2778,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2780,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2782,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2791,"[1,3]","[2,3]","[1,3]",paper_stronger
13n_2792,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2795,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2805,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2806,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2807,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2809,"[2,3]","[2,2]","[2,3]",paper_stronger
13n_2810,"[2,3]","[2,3]","[2,2]",paper_weaker
13n_2812,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2816,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2820,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2823,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2825,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2832,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2847,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2851,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2853,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2860,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2861,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2864,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2865,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2868,"[1,2]","[2,2]","[1,2]",paper_stronger
13n_2869,"[1,2]","[2,2]","[1,2]",paper_stronger
